date,zone,pred_seasonal_naive,pred_sarimax,pred_xgb
2022-09-27,A,124.82177326262712,113.81477439513944,138.2127008663169
2022-09-28,A,129.07207649690864,130.302107476777,138.2127008663169
2022-09-29,A,148.418350913531,145.7027428748139,138.2127008663169
2022-09-30,A,155.60311118788067,149.3393981311027,138.2127008663169
2022-10-01,A,139.62707835672657,138.3246321094936,138.2127008663169
2022-10-02,A,122.35842871093156,120.98532073580759,138.2127008663169
2022-10-03,A,117.09146681137324,111.11024161518283,138.2127008663169
2022-10-04,A,124.82177326262712,113.38193845694714,138.2127008663169
2022-10-05,A,129.07207649690864,130.17499915000676,138.2127008663169
2022-10-06,A,148.418350913531,145.70265468426754,138.2127008663169
2022-10-07,A,155.60311118788067,149.3887324855212,138.2127008663169
2022-10-08,A,139.62707835672657,138.3869694250114,138.2127008663169
2022-10-09,A,122.35842871093156,121.04584590487096,138.2127008663169
2022-10-10,A,117.09146681137324,111.168447531378,138.2127008663169
2022-10-11,A,124.82177326262712,113.44258869314945,138.2127008663169
2022-10-12,A,129.07207649690864,130.2452370204395,138.2127008663169
2022-10-13,A,148.418350913531,145.78150320680749,138.2127008663169
2022-10-14,A,155.60311118788067,149.4696565791981,138.2127008663169
2022-10-15,A,139.62707835672657,138.46196104846007,138.2127008663169
2022-10-16,A,122.35842871093156,121.1114502170258,138.2127008663169
2022-10-17,A,117.09146681137324,111.22870278377462,138.2127008663169
2022-10-18,A,124.82177326262712,113.5040786197386,138.2127008663169
2022-10-19,A,129.07207649690864,130.3158355695016,138.2127008663169
2022-10-20,A,148.418350913531,145.86052346368405,138.2127008663169
2022-10-21,A,155.60311118788067,149.55067611631347,138.2127008663169
2022-10-22,A,139.62707835672657,138.53701394476656,138.2127008663169
2022-10-23,A,122.35842871093156,121.1770983363021,138.2127008663169
2022-10-24,A,117.09146681137324,111.28899399473707,138.2127008663169
2022-10-25,A,124.82177326262712,113.56560319523444,138.2127008663169
2022-10-26,A,129.07207649690864,130.38647291350355,138.2127008663169
2022-09-27,B,202.0246742324092,197.83877885064658,138.2127008663169
2022-09-28,B,210.65289104659593,214.8714935800407,138.2127008663169
2022-09-29,B,228.7326771082463,232.87369693169637,138.2127008663169
2022-09-30,B,231.89922761870724,237.4768273661174,138.2127008663169
2022-10-01,B,217.9253346069852,223.7179473731857,138.2127008663169
2022-10-02,B,197.06574058260205,206.73311792958603,138.2127008663169
2022-10-03,B,208.21466268269907,194.08361322618956,138.2127008663169
2022-10-04,B,202.0246742324092,199.5566251571726,138.2127008663169
2022-10-05,B,210.65289104659593,216.59992037479515,138.2127008663169
2022-10-06,B,228.7326771082463,234.6148138871937,138.2127008663169
2022-10-07,B,231.89922761870724,239.20623124451225,138.2127008663169
2022-10-08,B,217.9253346069852,225.40207414824698,138.2127008663169
2022-10-09,B,197.06574058260205,208.3663226706232,138.2127008663169
2022-10-10,B,208.21466268269907,195.67419576189027,138.2127008663169
2022-10-11,B,202.0246742324092,201.13831608575634,138.2127008663169
2022-10-12,B,210.65289104659593,218.1943577734007,138.2127008663169
2022-10-13,B,228.7326771082463,236.22407825155184,138.2127008663169
2022-10-14,B,231.89922761870724,240.80584175689035,138.2127008663169
2022-10-15,B,217.9253346069852,226.958372803784,138.2127008663169
2022-10-16,B,197.06574058260205,209.87362256066848,138.2127008663169
2022-10-17,B,208.21466268269907,197.140780949559,138.2127008663169
2022-10-18,B,202.0246742324092,202.59794879865518,138.2127008663169
2022-10-19,B,210.65289104659593,219.66868588047612,138.2127008663169
2022-10-20,B,228.7326771082463,237.71515642351994,138.2127008663169
2022-10-21,B,231.89922761870724,242.28911480613561,138.2127008663169
2022-10-22,B,217.9253346069852,228.40009187490782,138.2127008663169
2022-10-23,B,197.06574058260205,211.26806194022325,138.2127008663169
2022-10-24,B,208.21466268269907,198.49621210652913,138.2127008663169
2022-10-25,B,202.0246742324092,203.94816879960527,138.2127008663169
2022-10-26,B,210.65289104659593,221.0353555068955,138.2127008663169
2022-09-27,C,93.4250919757943,73.96802135770972,138.2127008663169
2022-09-28,C,86.06678032663713,91.20200761777268,138.2127008663169
2022-09-29,C,99.46489493573884,106.58193412521297,138.2127008663169
2022-09-30,C,99.78810541609444,111.31719696360204,138.2127008663169
2022-10-01,C,117.30585213479544,99.85477215136237,138.2127008663169
2022-10-02,C,87.86789578858239,81.51579255496252,138.2127008663169
2022-10-03,C,67.82847588932131,69.84980583936215,138.2127008663169
2022-10-04,C,93.4250919757943,73.99164442681574,138.2127008663169
2022-10-05,C,86.06678032663713,91.29854820263986,138.2127008663169
2022-10-06,C,99.46489493573884,106.66370969061066,138.2127008663169
2022-10-07,C,99.78810541609444,111.416340989227,138.2127008663169
2022-10-08,C,117.30585213479544,99.93777084724366,138.2127008663169
2022-10-09,C,87.86789578858239,81.58622200981513,138.2127008663169
2022-10-10,C,67.82847588932131,69.90883629782434,138.2127008663169
2022-10-11,C,93.4250919757943,74.05490233666929,138.2127008663169
2022-10-12,C,86.06678032663713,91.37621489510296,138.2127008663169
2022-10-13,C,99.46489493573884,106.75462566309776,138.2127008663169
2022-10-14,C,99.78810541609444,111.5112290095235,138.2127008663169
2022-10-15,C,117.30585213479544,100.02291721330084,138.2127008663169
2022-10-16,C,87.86789578858239,81.65571760796792,138.2127008663169
2022-10-17,C,67.82847588932131,69.96839261422733,138.2127008663169
2022-10-18,C,93.4250919757943,74.11798656757456,138.2127008663169
2022-10-19,C,86.06678032663713,91.45405664341983,138.2127008663169
2022-10-20,C,99.46489493573884,106.84556697773913,138.2127008663169
2022-10-21,C,99.78810541609444,111.60622279636493,138.2127008663169
2022-10-22,C,117.30585213479544,100.10812418229926,138.2127008663169
2022-10-23,C,87.86789578858239,81.72527811688785,138.2127008663169
2022-10-24,C,67.82847588932131,70.02799693325576,138.2127008663169
2022-10-25,C,93.4250919757943,74.1811258456259,138.2127008663169
2022-10-26,C,86.06678032663713,91.53196407764837,138.2127008663169
