date,zone,volume
2020-01-01,A,122.43773663803545
2020-01-02,A,127.32676680944664
2020-01-03,A,145.52218783010812
2020-01-04,A,136.23222254351091
2020-01-05,A,95.75408374845819
2020-01-06,A,90.13405575151504
2020-01-07,A,105.44615363603775
2020-01-08,A,117.54012933132141
2020-01-09,A,135.58230046940636
2020-01-10,A,132.7642969131379
2020-01-11,A,135.8129586813539
2020-01-12,A,117.65477081119059
2020-01-13,A,101.14980745697338
2020-01-14,A,113.51143013651382
2020-01-15,A,123.8802148781565
2020-01-16,A,128.9124400964448
2020-01-17,A,142.60872467645663
2020-01-18,A,121.17678414588933
2020-01-19,A,118.53010780828723
2020-01-20,A,100.2922246586637
2020-01-21,A,103.08467164247752
2020-01-22,A,114.76277385497866
2020-01-23,A,145.63718057897302
2020-01-24,A,138.49255261731628
2020-01-25,A,125.49129244528656
2020-01-26,A,108.75550706399326
2020-01-27,A,105.02017550105057
2020-01-28,A,107.5571931358223
2020-01-29,A,123.58214117304817
2020-01-30,A,139.37348796371393
2020-01-31,A,156.93203935090048
2020-02-01,A,125.73666496158457
2020-02-02,A,107.54470370539687
2020-02-03,A,94.32159026071083
2020-02-04,A,109.63154607158374
2020-02-05,A,129.38212869211745
2020-02-06,A,135.08541034848196
2020-02-07,A,133.14767679830663
2020-02-08,A,122.46220543720165
2020-02-09,A,116.91745791063687
2020-02-10,A,106.84787552639148
2020-02-11,A,109.11901490749135
2020-02-12,A,115.09634276211085
2020-02-13,A,137.92435066432475
2020-02-14,A,140.87248515720282
2020-02-15,A,130.87763400663377
2020-02-16,A,118.75421590169485
2020-02-17,A,102.76067661703146
2020-02-18,A,110.27515933569502
2020-02-19,A,121.03112304640159
2020-02-20,A,138.45008533938093
2020-02-21,A,145.0593745608553
2020-02-22,A,117.54094874402627
2020-02-23,A,109.29548601732098
2020-02-24,A,97.27900106256172
2020-02-25,A,99.8028981152432
2020-02-26,A,118.35942255074704
2020-02-27,A,148.1667307098063
2020-02-28,A,133.1524898986711
2020-02-29,A,137.01449220967362
2020-03-01,A,98.45996764532316
2020-03-02,A,98.43297212708794
2020-03-03,A,106.28601549210005
2020-03-04,A,125.32040928150482
2020-03-05,A,141.96708292834404
2020-03-06,A,146.4959867758865
2020-03-07,A,126.54853486502435
2020-03-08,A,108.29418154700302
2020-03-09,A,108.04592948710142
2020-03-10,A,103.52362644227713
2020-03-11,A,110.49521011399729
2020-03-12,A,127.28104264804344
2020-03-13,A,132.86366067634432
2020-03-14,A,133.3856914655122
2020-03-15,A,113.20247184695415
2020-03-16,A,106.77607533965647
2020-03-17,A,101.70610994070786
2020-03-18,A,122.03908829938456
2020-03-19,A,141.42213358188005
2020-03-20,A,137.81457671666536
2020-03-21,A,133.1326774836113
2020-03-22,A,106.83772849992663
2020-03-23,A,98.41783180466379
2020-03-24,A,102.14029802948366
2020-03-25,A,111.27412367612847
2020-03-26,A,140.38326034649617
2020-03-27,A,136.60420038287558
2020-03-28,A,129.64849860304372
2020-03-29,A,116.0491793697773
2020-03-30,A,104.96458205549395
2020-03-31,A,110.58735212332257
2020-04-01,A,120.12302703483533
2020-04-02,A,133.17116407392825
2020-04-03,A,139.79174348731627
2020-04-04,A,116.11994025162794
2020-04-05,A,100.69637638921502
2020-04-06,A,90.88080581848929
2020-04-07,A,97.35636670079839
2020-04-08,A,124.17917479476841
2020-04-09,A,129.38378819747115
2020-04-10,A,137.4742588123224
2020-04-11,A,140.08251217565063
2020-04-12,A,109.49323447017854
2020-04-13,A,107.4325973351313
2020-04-14,A,97.93546995160156
2020-04-15,A,119.40755058811008
2020-04-16,A,129.09751427113696
2020-04-17,A,137.85736470750308
2020-04-18,A,136.4812209630915
2020-04-19,A,98.59485292320133
2020-04-20,A,105.07793200583151
2020-04-21,A,107.37636628040877
2020-04-22,A,116.36792147554668
2020-04-23,A,125.19929794538395
2020-04-24,A,141.2167354464886
2020-04-25,A,125.59288426099184
2020-04-26,A,114.3448960696477
2020-04-27,A,101.84743009172223
2020-04-28,A,118.35878266238787
2020-04-29,A,119.27634617140677
2020-04-30,A,128.64985090958666
2020-05-01,A,142.1439745344982
2020-05-02,A,131.65886947534656
2020-05-03,A,123.42705705080377
2020-05-04,A,108.42357296492142
2020-05-05,A,108.46959007508659
2020-05-06,A,132.96768439101768
2020-05-07,A,127.39779648604909
2020-05-08,A,135.6618272629198
2020-05-09,A,122.55635854239846
2020-05-10,A,109.5051480937041
2020-05-11,A,90.79926388722436
2020-05-12,A,110.7658992464759
2020-05-13,A,119.55354975454118
2020-05-14,A,125.21152063468062
2020-05-15,A,132.72527694532755
2020-05-16,A,132.54714692331393
2020-05-17,A,119.39870913217521
2020-05-18,A,117.85667027127923
2020-05-19,A,129.06566147008928
2020-05-20,A,124.71667686760927
2020-05-21,A,129.13173610051697
2020-05-22,A,123.86360941920745
2020-05-23,A,132.25079791253324
2020-05-24,A,106.26023789660776
2020-05-25,A,98.63003512637755
2020-05-26,A,100.92805741962216
2020-05-27,A,120.34514438014044
2020-05-28,A,145.6459529771432
2020-05-29,A,142.24643827469077
2020-05-30,A,128.91009758754353
2020-05-31,A,104.54860670655383
2020-06-01,A,88.62549972025022
2020-06-02,A,102.00443860958413
2020-06-03,A,121.11128113499515
2020-06-04,A,151.33162050955124
2020-06-05,A,142.10231597698115
2020-06-06,A,138.11116244210746
2020-06-07,A,108.90954201091705
2020-06-08,A,92.61348321661892
2020-06-09,A,98.24403785438196
2020-06-10,A,115.80980309532532
2020-06-11,A,154.28600913046327
2020-06-12,A,134.55909644147312
2020-06-13,A,137.02723005388367
2020-06-14,A,105.7505594446045
2020-06-15,A,109.61568752101911
2020-06-16,A,109.114649751158
2020-06-17,A,120.42857850041685
2020-06-18,A,137.00222113196864
2020-06-19,A,135.961958381903
2020-06-20,A,133.9579641059195
2020-06-21,A,109.40417909664443
2020-06-22,A,92.42832737795733
2020-06-23,A,95.88161149782394
2020-06-24,A,123.13245509352815
2020-06-25,A,150.03112146240542
2020-06-26,A,142.5502629239957
2020-06-27,A,129.51034995525373
2020-06-28,A,115.40072612626096
2020-06-29,A,112.75125749181996
2020-06-30,A,107.93024217336189
2020-07-01,A,118.53440397515152
2020-07-02,A,146.31877116167155
2020-07-03,A,144.77045159317123
2020-07-04,A,142.81557457017118
2020-07-05,A,114.65006257728632
2020-07-06,A,92.5775613744714
2020-07-07,A,95.29997863855587
2020-07-08,A,135.09931534974217
2020-07-09,A,151.32785731752898
2020-07-10,A,139.97431644928758
2020-07-11,A,127.5340981351853
2020-07-12,A,124.94581148751863
2020-07-13,A,93.58701824195767
